UOM_ID,UOM_NAME,UOM_ISO,UOM_SAP,UOM_DIMENSION,UOM_NUMERATOR,UOM_DENOMINATOR,UOM_ROUNDING,UOM_BASE
BG,Bag ( Bag ),BG,BAG,NODMNSN,1,1,0,false
BO,Bottle ( Bt. ),BO,BOT,NODMNSN,1,1,0,false
BUA,Bushel ( BUA ),BUA,BU,NODMNSN,1,1,0,false
CA,Canister ( Can ),CA,KAN,NODMNSN,1,1,0,false
CT,Carton ( Car ),CT,KAR,NODMNSN,1,1,0,false
CS,Case ( Case ),CS,CS,NODMNSN,1,1,0,false
BX,Crate ( Crate ),BX,KI,NODMNSN,1,1,0,false
DD,Degree ( deg ),DD,DEG,NODMNSN,1,1,0,false
DPC,Dozen ( dz ),DPC,DZ,NODMNSN,1,1,0,false
DR,Drum ( Dr ),DR,DR,NODMNSN,1,1,0,false
GRO,Gross ( gro ),GRO,GRO,NODMNSN,1,1,0,false
NIU,International Unit ( NIU ),NIU,IU,NODMNSN,1,1,0,false
IE,Number of Persons ( PRS ),IE,PRS,NODMNSN,1,1,0,false
NMP,Pack ( NMP ),NMP,PAK,NODMNSN,1,1,0,false
NPR,Pair ( NPR ),NPR,PAA,NODMNSN,1,1,0,false
PF,Pallet ( PAL ),PF,PAL,NODMNSN,1,1,0,false
C62,Pieces ( C62 ),C62,PCE,NODMNSN,1,1,0,false
NRL,Role ( NRL ),NRL,ROL,NODMNSN,1,1,0,false
MIL,Thousands ( thou ),MIL,TH,NODMNSN,1,1,0,false
APZ,Troy OncesTonne ( APZ ),APZ,TOZ,NODMNSN,1,1,0,false
EA,Each (ST) ( ST ),EA,EA,NODMNSN,1,1,0,false
MSK,Meter/second squared ( m/s2 ),MSK,MS2,ACCEL,1,1,0,true
C36,Mol per cubic meter ( mol/m3 ),C36,C36,ACBAC,1,1000,0,false
C38,Mol per liter ( Mol/l ),C38,C38,ACBAC,1,1,0,true
ACR,Acre ( acre ),ACR,ACR,SURFAC,4046860,1000,0,false
HAR,Hectare ( Hectar ),HAR,HAR,SURFAC,10000,1,0,false
YDK,Square Yard ( yd2 ),YDK,YD2,SURFAC,836126983,10000000000,0,false
CMK,Square centimeter ( cm2 ),CMK,CM2,SURFAC,1,10000,0,false
FTK,Square foot ( ft2 ),FTK,FT2,SURFAC,9290304,100000000,0,false
INK,Square inch ( Inch2 ),INK,IN2,SURFAC,6451612903,10000000000000,0,false
KMK,Square kilometer ( km2 ),KMK,KM2,SURFAC,1000000,1,0,false
MTK,Square meter ( m2 ),MTK,M2,SURFAC,1,1,0,true
MIK,Square mile ( Mile2 ),MIK,MI2,SURFAC,2589988,1,0,false
MMK,Square millimeter ( mm2 ),MMK,MM2,SURFAC,1,1000000,0,false
D10,Siemens per meter ( S/m ),D10,D10,CONDUC,1,1,0,true
A93,Gram/Cubic meter ( g/m3 ),A93,A93,DENSI,1,1,0,true
23,Gram/cubic centimeter ( g/cm3 ),23,RHO,DENSI,1000000,1,0,false
GL,Gram/liter ( g/l ),GL,GLI,DENSI,1000,1,0,false
B34,Kilogram/cubic decimeter ( kg/dm3 ),B34,B34,DENSI,1000000,1,0,false
KMQ,Kilogram/cubic meter ( kg/m3 ),KMQ,KGV,DENSI,1000,1,0,false
GQ,Microgram/cubic meter ( µg/m3 ),GQ,GQ,DENSI,1,1000000,0,false
GP,Milligram/cubic meter ( mg/m3 ),GP,MGQ,DENSI,1,1000,0,false
M1,Milligram/liter ( mg/l ),M1,MGL,DENSI,1,1,0,false
D41,Ton/Cubic meter ( t/m3 ),D41,D41,DENSI,1000000,1,0,false
GE,US Pound/US Gallon ( lb/gal ),GE,LBG,DENSI,1601846,100,0,false
C24,Millipascal seconds ( mPa.s ),C24,MPS,VISDYN,1,1000,0,false
C65,Pascal second ( Pas ),C65,PAS,VISDYN,1,1,0,true
A87,Gigaohm ( GOhm ),A87,A87,RESIST,1000000000,1,0,false
B49,Kiloohm ( kOhm ),B49,KOH,RESIST,1000,1,0,false
B75,Megohm ( MOhm ),B75,B75,RESIST,1000000,1,0,false
OHM,Ohm ( Ohm ),OHM,OHM,RESIST,1,1,0,true
AMP,Ampere ( A ),AMP,A,ECURR,1,1,0,true
B22,Kiloampere ( kA ),B22,KA,ECURR,1000,1,0,false
B84,Microampere ( µA ),B84,B84,ECURR,1,1000000,0,false
4K,Milliampere ( mA ),4K,MA,ECURR,1,1000,0,false
C39,Nanoampere ( nA ),C39,C39,ECURR,1,1000000000,0,false
KVT,Kilovolt ( kV ),KVT,KV,VOLTAG,1000,1,0,false
B78,Megavolt ( MV ),B78,B78,VOLTAG,1000000,1,0,false
2Z,Millivolt ( mV ),2Z,MV,VOLTAG,1,1000,0,false
VLT,Volt ( V ),VLT,V,VOLTAG,1,1,0,true
FAR,Farad ( F ),FAR,F,CAPACI,1,1,0,true
4O,Microfarad ( µF ),4O,4O,CAPACI,1,1000000,0,false
C10,Millifarad ( mF ),C10,C10,CAPACI,1,1000,0,false
C41,Nanofarad ( nF ),C41,C41,CAPACI,1,1000000000,0,false
4T,Pikofarad ( pF ),4T,4T,CAPACI,1,1000000000000,0,false
GV,Gigajoule ( GJ ),GV,GJ,ENERGY,1000000000,1,0,false
JOU,Joule ( J ),JOU,J,ENERGY,1,1,0,true
KJO,Kilojoule ( kJ ),KJO,KJ,ENERGY,1000,1,0,false
KWH,Kilowatt hours ( kwh ),KWH,KWH,ENERGY,3600000,1,0,false
3B,Megajoule ( MJ ),3B,MEJ,ENERGY,1000000,1,0,false
MWH,Megawatt hour ( MWh ),MWH,MWH,ENERGY,3600000000,1,0,false
C15,Millijoule ( mJ ),C15,MJ,ENERGY,1,1000,0,false
E14,Kilocalories ( KCAL ),E14,CAL,ENERGY,41868,10,0,false
B47,Kilonewton ( ND ),B47,B47,FORCE,1000,1,0,false
B73,Meganewton ( MN ),B73,B73,FORCE,1000000,1,0,false
NEW,Newton ( N ),NEW,N,FORCE,1,1,0,true
HTZ,Hertz (1/second) ( Hz ),HTZ,HZ,FREQU,1,1,0,true
KHZ,Kilohertz ( kHz ),KHZ,KHZ,FREQU,1000,1,0,false
MHZ,Megahertz ( MHz ),MHZ,MHZ,FREQU,1000000,1,0,false
RPM,Revolutions per minute ( r/min ),RPM,RPM,FREQU,1666667,100000000,0,false
D53,Heat Conductivity ( W/mk ),D53,WMK,THCOND,1,1,0,true
S4,Square meter/second ( m2/s ),S4,M2S,VISKIN,1,1,0,true
C17,Square millimeter/second ( mm2/s ),C17,22S,VISKIN,1,1000000,0,false
CMT,Centimeter ( cm ),CMT,CM,LENGTH,1,100,0,false
DMT,Decimeter ( dm ),DMT,DM,LENGTH,1,10,0,false
FOT,Foot ( Foot ),FOT,FT,LENGTH,3048,10000,0,false
INH,Inch,INH,IN,LENGTH,254,10000,0,false
KMT,Kilometer ( km ),KMT,KM,LENGTH,1000,1,0,false
MTR,Meter ( m ),MTR,M,LENGTH,1,1,0,true
4H,Micrometer ( µm ),4H,MIM,LENGTH,1,1000000,0,false
SMI,Mile ( mile ),SMI,MI,LENGTH,1609344,1000,0,false
MMT,Millimeter ( mm ),MMT,MM,LENGTH,1,1000,0,false
C45,Nanometer ( nm ),C45,NAM,LENGTH,1,1000000000,0,false
YRD,Yards ( yd ),YRD,YD,LENGTH,9144,10000,0,false
CDL,Candela ( cd ),CDL,CD,LIGHT,1,1,0,true
C29,Millitesla ( mT ),C29,MTE,MAGNFD,1,1000,0,false
D33,Tesla ( D ),D33,TES,MAGNFD,1,1,0,true
GRM,Gram ( g ),GRM,G,MASS,1,1,0,true
KTN,Kilotonne ( kt ),KTN,KT,MASS,1000000000,1,0,false
MGM,Milligram ( mg ),MGM,MG,MASS,1,1000,0,false
ONZ,Ounce ( oz ),ONZ,OZ,MASS,28349523125,1000000000,0,false
TNE,Tonne ( t ),TNE,TO,MASS,1000000,1,0,false
LBR,US pound ( lb ),LBR,LB,MASS,45359237,100000,0,false
STN,US ton ( ton ),STN,TON,MASS,9071847,10,0,false
KGM,Kg ( KG ),KGM,KG,MASS,1000,1,0,false
GM,Gram/square meter ( g/m2 ),GM,GM2,MASSBD,1,1,0,true
28,Kilogram/Square meter ( kg/m2 ),28,KGF,MASSBD,1000,1,0,false
KGS,Kilogram/second ( kg/s ),KGS,KGS,MASFLO,1000,1,0,false
B15,Joule/Mol ( J/mol ),B15,JMO,MOENER,1,1,0,true
B44,Kilojoule/Mol ( KJ/mol ),B44,KJM,MOENER,1000,1,0,false
A94,Gram/Mol ( g/mol ),A94,GM,MOLMAS,1,1,0,true
D74,Kilogram/Mol ( kg/mol ),D74,KGM,MOLMAS,1000,1,0,false
B45,Kilomol ( kmol ),B45,B45,MOLQU,1000,1,0,false
C18,Millimol ( mmol ),C18,MMO,MOLQU,1,1000,0,false
C34,Mol ( mol ),C34,MOL,MOLQU,1,1,0,true
KVA,Kilovoltampere ( kVA ),KVA,KVA,POWER,1000,1,0,false
KWT,Kilowatt ( KW ),KWT,KW,POWER,1000,1,0,false
MVA,Megavoltampere ( MVA ),MVA,MVA,POWER,1000000,1,0,false
MAW,Megawatt ( VA ),MAW,MGW,POWER,1000000,1,0,false
C31,Milliwatt ( mW ),C31,MW,POWER,1,1000,0,false
D46,Voltampere ( VAM ),D46,D46,POWER,1,1,0,false
WTT,Watt ( W ),WTT,W,POWER,1,1,0,false
A97,Hectopascal ( hPa ),A97,HPA,PRESS,1,1000,0,false
B8,Joule/Cubic Meter ( J/m3 ),B8,JM3,PRESS,1,100000,0,false
KPA,Kilopascal ( kPa ),KPA,KPA,PRESS,1,100,0,false
MPA,Megapascal ( MPa ),MPA,MPA,PRESS,10,1,0,false
MBR,Millibar ( mbar ),MBR,MBA,PRESS,1,1000,0,false
C56,Newton/Square millimeter ( N/mm2 ),C56,C56,PRESS,10,1,0,false
PAL,Pascal ( Pa ),PAL,PA,PRESS,1,100000,0,false
BAR,Bar ( bar ),BAR,BAR,PRESS,1,1,0,true
61,Parts per billion ( ppb ),61,PPB,PROPOR,1,1000000000,0,false
59,Parts per million ( ppm ),59,PPM,PROPOR,1,1000000,0,false
NX,Parts per thousand ( ppt ),NX,PPT,PROPOR,1,1000,0,false
P1,Percentage ( % ),P1,P1,PROPOR,1,100,0,false
C61,Specific Electrical Resistance ( Ohmm ),C61,OM,SPREST,1,1,0,true
B11,Specific Heat Capacity ( J/kgK ),B11,JKK,SPHCAP,1,1,0,true
C19,Mol/kilogram ( mol/kg ),C19,MOK,SPAEQU,1,1,0,true
A18,Becquerel/kilogram ( Bq/kg ),A18,BQK,SPARAD,1,1,0,false
B25,Kilobecquerel/kilogram ( kBq/kg ),B25,KBK,SPARAD,1000,1,0,false
J2,Joule/Kilogram ( J/kg ),J2,JKG,SPENER,1,1,0,true
B42,Kilojoule/kilogram ( KJ/kg ),B42,KJK,SPENER,1000,1,0,false
2M,Centimeter/second ( cm/s ),2M,2M,SPEED,1,100,0,false
KMH,Kilometer/hour ( km/h ),KMH,KMH,SPEED,277778,1000000,0,false
2X,Meter/Minute ( m/min ),2X,2X,SPEED,1666667,100000000,0,false
MTS,Meter/second ( m/s ),MTS,M/S,SPEED,1,1,0,true
